"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2020","2020","KG_HAB","Kilograms per capita","3","Thousands",,,8.289,,
"AUT","Austria","GHG","Greenhouse gases","GHG_CAP","Total GHG excl. LULUCF per capita","2021","2021","KG_HAB","Kilograms per capita","3","Thousands",,,8.661,,
"AUT","Austria","CO2","Carbon dioxide","TOTAL","Total  emissions excluding LULUCF","2016","2016","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,67226.575,,
"AUT","Austria","CO2","Carbon dioxide","TOTAL","Total  emissions excluding LULUCF","2017","2017","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,69608.667,,
"AUT","Austria","CO2","Carbon dioxide","TOTAL","Total  emissions excluding LULUCF","2018","2018","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,66571.892,,
"AUT","Austria","CO2","Carbon dioxide","TOTAL","Total  emissions excluding LULUCF","2019","2019","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,67956.158,,
"AUT","Austria","CO2","Carbon dioxide","TOTAL","Total  emissions excluding LULUCF","2020","2020","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,62121.251,,
"AUT","Austria","CO2","Carbon dioxide","TOTAL","Total  emissions excluding LULUCF","2021","2021","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,66018.632,,
"AUT","Austria","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2016","2016","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,7023.267,,
"AUT","Austria","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2017","2017","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6993.4,,
"AUT","Austria","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2018","2018","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6757.868,,
"AUT","Austria","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2019","2019","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6608.555,,
"AUT","Austria","CH4","Methane","TOTAL","Total  emissions excluding LULUCF","2020","2020","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,6502.904,,
