Year,COMPANY_NAME,Country,NUMBER_OF_EMPLOYEES,SCOPE_1,SCOPE_2,SCOPE 1+2,SCOPE 3,ENERGY_CONSUMPTION_TOTAL,TOTAL_WASTE_GENERATED,ISIC Division
2018,Samsung Electronics Co,South Korea,287000,4855000.0,11125000.0,15980000.0,Not reported,26028000.0,1210520.0,Manufacturing
2019,Samsung Electronics Co,South Korea,292000,5067000.0,10933000.0,16000000.0,Not reported,26899000.0,1099197.0,Manufacturing
2020,Samsung Electronics Co,South Korea,297000,5726000.0,11504000.0,17230000.0,Not reported,29024000.0,1181741.0,Manufacturing
2021,Samsung Electronics Co,South Korea,302000,7604000.0,12566000.0,19200000.0,Not reported,32322000.0,1324972.0,Manufacturing
2019,SAUDI ARAMCO,Saudi Arabia,82000,52000000.0,19000000.0,71000000.0,Not reported,,232000.0,Mining and quarrying
2020,SAUDI ARAMCO,Saudi Arabia,83900,50200000.0,18100000.0,68300000.0,Not reported,,231000.0,Mining and quarrying
2021,SAUDI ARAMCO,Saudi Arabia,85800,55300000.0,15500000.0,70800000.0,Not reported,,158000.0,Mining and quarrying
2016,Shell Plc,United Kingdom,91000,72000000.0,11500000.0,72000000.0,Not reported,266000000.0,2148000.0,Mining and quarrying
2017,Shell Plc,United Kingdom,86000,73000000.0,11000000.0,73000000.0,Reported,269000000.0,2020000.0,Mining and quarrying
2018,Shell Plc,United Kingdom,82000,71000000.0,10000000.0,71000000.0,Reported,268000000.0,1999000.0,Mining and quarrying
2019,Shell Plc,United Kingdom,87000,70000000.0,9000000.0,79000000.0,Reported,264000000.0,2113000.0,Mining and quarrying
