Company,Year,Market Cap,Revenue,Total Assets
DEUTSCHE TELEKOM,2001,$87.82 B,$49.76 B,$118.42 B
DEUTSCHE TELEKOM,2023,$105.67 B,$119.09 B,$319.78 B
DEUTSCHE TELEKOM,2022,$98.88 B,$120.21 B,$318.94 B
DEUTSCHE TELEKOM,2021,$92.04 B,$126.21 B,$325.84 B
DEUTSCHE TELEKOM,2020,$87.25 B,$117.05 B,$191.19 B
DEUTSCHE TELEKOM,2019,$77.41 B,$89.87 B,$166.30 B
DEUTSCHE TELEKOM,2018,$80.72 B,$88.52 B,$169.67 B
DEUTSCHE TELEKOM,2017,$82.27 B,$86.09 B,$156.30 B
DEUTSCHE TELEKOM,2016,$80.52 B,$80.69 B,$157.36 B
DEUTSCHE TELEKOM,2015,$83.68 B,$76.57 B,$157.32 B
DEUTSCHE TELEKOM,2014,$72.75 B,$81.64 B,$163.16 B
DEUTSCHE TELEKOM,2013,$76.32 B,$79.96 B,$142.78 B
DEUTSCHE TELEKOM,2012,$49.10 B,$75.69 B,$158.81 B
DEUTSCHE TELEKOM,2011,$49.40 B,$79.62 B,$170.00 B
DEUTSCHE TELEKOM,2010,$55.49 B,$87.58 B,$46.77 B
DEUTSCHE TELEKOM,2009,$64.29 B,$90.90 B,$172.55 B
DEUTSCHE TELEKOM,2008,$65.54 B,$91.99 B,$176.46 B
DEUTSCHE TELEKOM,2007,$95.64 B,$87.42 B,$172.05 B
DEUTSCHE TELEKOM,2006,$79.66 B,$78.10 B,$151.00 B
DEUTSCHE TELEKOM,2005,$69.99 B,$72.74 B,$146.14 B
DEUTSCHE TELEKOM,2004,$94.74 B,$73.03 B,$145.88 B
DEUTSCHE TELEKOM,2003,$76.63 B,$66.06 B,$136.60 B
DEUTSCHE TELEKOM,2002,$55.74 B,$58.43 B,$178.81 B
DEUTSCHE TELEKOM,2001,$87.82 B,$49.76 B,$118.42 B
DEUTSCHE TELEKOM,2023,$105.67 B,$119.09 B,$319.78 B
DEUTSCHE TELEKOM,2022,$98.88 B,$120.21 B,$318.94 B
DEUTSCHE TELEKOM,2021,$92.04 B,$126.21 B,$325.84 B
DEUTSCHE TELEKOM,2020,$87.25 B,$117.05 B,$191.19 B
DEUTSCHE TELEKOM,2019,$77.41 B,$89.87 B,$166.30 B
DEUTSCHE TELEKOM,2018,$80.72 B,$88.52 B,$169.67 B
DEUTSCHE TELEKOM,2017,$82.27 B,$86.09 B,$156.30 B
DEUTSCHE TELEKOM,2016,$80.52 B,$80.69 B,$157.36 B
DEUTSCHE TELEKOM,2015,$83.68 B,$76.57 B,$157.32 B
DEUTSCHE TELEKOM,2014,$72.75 B,$81.64 B,$163.16 B
DEUTSCHE TELEKOM,2013,$76.32 B,$79.96 B,$142.78 B
DEUTSCHE TELEKOM,2012,$49.10 B,$75.69 B,$158.81 B
DEUTSCHE TELEKOM,2011,$49.40 B,$79.62 B,$170.00 B
DEUTSCHE TELEKOM,2010,$55.49 B,$87.58 B,$46.77 B
DEUTSCHE TELEKOM,2009,$64.29 B,$90.90 B,$172.55 B
DEUTSCHE TELEKOM,2008,$65.54 B,$91.99 B,$176.46 B
DEUTSCHE TELEKOM,2007,$95.64 B,$87.42 B,$172.05 B
DEUTSCHE TELEKOM,2006,$79.66 B,$78.10 B,$151.00 B
DEUTSCHE TELEKOM,2005,$69.99 B,$72.74 B,$146.14 B
DEUTSCHE TELEKOM,2004,$94.74 B,$73.03 B,$145.88 B
DEUTSCHE TELEKOM,2003,$76.63 B,$66.06 B,$136.60 B
DEUTSCHE TELEKOM,2002,$55.74 B,$58.43 B,$178.81 B
DEUTSCHE TELEKOM,2001,$87.82 B,$49.76 B,$118.42 B
DEUTSCHE TELEKOM,2023,$105.67 B,$119.09 B,$319.78 B
DEUTSCHE TELEKOM,2022,$98.88 B,$120.21 B,$318.94 B
DEUTSCHE TELEKOM,2021,$92.04 B,$126.21 B,$325.84 B
DEUTSCHE TELEKOM,2020,$87.25 B,$117.05 B,$191.19 B
DEUTSCHE TELEKOM,2019,$77.41 B,$89.87 B,$166.30 B
DEUTSCHE TELEKOM,2018,$80.72 B,$88.52 B,$169.67 B
DEUTSCHE TELEKOM,2017,$82.27 B,$86.09 B,$156.30 B
DEUTSCHE TELEKOM,2016,$80.52 B,$80.69 B,$157.36 B
DEUTSCHE TELEKOM,2015,$83.68 B,$76.57 B,$157.32 B
DEUTSCHE TELEKOM,2014,$72.75 B,$81.64 B,$163.16 B
DEUTSCHE TELEKOM,2013,$76.32 B,$79.96 B,$142.78 B
DEUTSCHE TELEKOM,2012,$49.10 B,$75.69 B,$158.81 B
DEUTSCHE TELEKOM,2011,$49.40 B,$79.62 B,$170.00 B
DEUTSCHE TELEKOM,2010,$55.49 B,$87.58 B,$46.77 B
DEUTSCHE TELEKOM,2009,$64.29 B,$90.90 B,$172.55 B
DEUTSCHE TELEKOM,2008,$65.54 B,$91.99 B,$176.46 B
DEUTSCHE TELEKOM,2007,$95.64 B,$87.42 B,$172.05 B
DEUTSCHE TELEKOM,2006,$79.66 B,$78.10 B,$151.00 B
DEUTSCHE TELEKOM,2005,$69.99 B,$72.74 B,$146.14 B
DEUTSCHE TELEKOM,2004,$94.74 B,$73.03 B,$145.88 B
DEUTSCHE TELEKOM,2003,$76.63 B,$66.06 B,$136.60 B
DEUTSCHE TELEKOM,2002,$55.74 B,$58.43 B,$178.81 B
DEUTSCHE TELEKOM,2001,$87.82 B,$49.76 B,$118.42 B
Petrobras,2023,$95.09 B,$112.33 B,$187.19 B
Petrobras,2022,$69.46 B,$124.47 B,$174.34 B
Petrobras,2021,$69.59 B,$83.96 B,$190.01 B
Petrobras,2020,$71.83 B,$53.68 B,$229.74 B
Petrobras,2019,$101.18 B,$95.58 B,$222.06 B
Petrobras,2018,$81.56 B,$88.82 B,$251.36 B
Petrobras,2017,$65.18 B,$81.40 B,$246.98 B
Petrobras,2016,$64.31 B,$97.31 B,$230.52 B
Petrobras,2015,$25.57 B,$143.65 B,$298.68 B
Petrobras,2014,$47.91 B,$141.46 B,$321.42 B
Petrobras,2013,$90.69 B,$144.21 B,$331.64 B
Petrobras,2012,$124.16 B,$145.94 B,$599.15 B
Petrobras,2011,$156.23 B,$120.05 B,$308.68 B
Petrobras,2010,$224.83 B,$91.86 B,$200.27 B
Petrobras,2009,$198.69 B,$118.25 B,$125.69 B
Petrobras,2008,$107.43 B,$87.73 B,$129.71 B
Petrobras,2007,$252.78 B,$72.34 B,$98.68 B
Petrobras,2006,$112.95 B,$56.32 B,$78.62 B
Petrobras,2005,$78.16 B,$37.45 B,$63.08 B
Petrobras,2004,$43.20 B,$30.79 B,$53.61 B
Petrobras,2003,$31.75 B,$22.61 B,$32.01 B
Petrobras,2002,$16.22 B,$24.54 B,$36.86 B
Petrobras,2001,$25.30 B,$364.11 B,$251.77 B
Petrobras,ChevronCVX,$305.13 B,$214.08 B,$22.23 B
Petrobras,HessHES,$47.49 B,$10.75 B,$27.03 B
Petrobras,2023,$95.09 B,$112.33 B,$187.19 B
Petrobras,2022,$69.46 B,$124.47 B,$174.34 B
Petrobras,2021,$69.59 B,$83.96 B,$190.01 B
Petrobras,2020,$71.83 B,$53.68 B,$229.74 B
Petrobras,2019,$101.18 B,$95.58 B,$222.06 B
Petrobras,2018,$81.56 B,$88.82 B,$251.36 B
Petrobras,2017,$65.18 B,$81.40 B,$246.98 B
Petrobras,2016,$64.31 B,$97.31 B,$230.52 B
Petrobras,2015,$25.57 B,$143.65 B,$298.68 B
Petrobras,2014,$47.91 B,$141.46 B,$321.42 B
Petrobras,2013,$90.69 B,$144.21 B,$331.64 B
Petrobras,2012,$124.16 B,$145.94 B,$599.15 B
Petrobras,2011,$156.23 B,$120.05 B,$308.68 B
Petrobras,2010,$224.83 B,$91.86 B,$200.27 B
Petrobras,2009,$198.69 B,$118.25 B,$125.69 B
Petrobras,2008,$107.43 B,$87.73 B,$129.71 B
Petrobras,2007,$252.78 B,$72.34 B,$98.68 B
Petrobras,2006,$112.95 B,$56.32 B,$78.62 B
Petrobras,2005,$78.16 B,$37.45 B,$63.08 B
Petrobras,2004,$43.20 B,$30.79 B,$53.61 B
Petrobras,2003,$31.75 B,$22.61 B,$32.01 B
Petrobras,2002,$16.22 B,$24.54 B,$36.86 B
Petrobras,2001,$25.30 B,$364.11 B,$251.77 B
Petrobras,ChevronCVX,$305.13 B,$214.08 B,$22.23 B
Petrobras,HessHES,$47.49 B,$10.75 B,$27.03 B
Petrobras,2023,$95.09 B,$112.33 B,$187.19 B
Petrobras,2022,$69.46 B,$124.47 B,$174.34 B
Petrobras,2021,$69.59 B,$83.96 B,$190.01 B
Petrobras,2020,$71.83 B,$53.68 B,$229.74 B
Petrobras,2019,$101.18 B,$95.58 B,$222.06 B
Petrobras,2018,$81.56 B,$88.82 B,$251.36 B
Petrobras,2017,$65.18 B,$81.40 B,$246.98 B
Petrobras,2016,$64.31 B,$97.31 B,$230.52 B
Petrobras,2015,$25.57 B,$143.65 B,$298.68 B
Petrobras,2014,$47.91 B,$141.46 B,$321.42 B
Petrobras,2013,$90.69 B,$144.21 B,$331.64 B
Petrobras,2012,$124.16 B,$145.94 B,$599.15 B
Petrobras,2011,$156.23 B,$120.05 B,$308.68 B
Petrobras,2010,$224.83 B,$91.86 B,$200.27 B
Petrobras,2009,$198.69 B,$118.25 B,$125.69 B
Petrobras,2008,$107.43 B,$87.73 B,$129.71 B
Petrobras,2007,$252.78 B,$72.34 B,$98.68 B
Petrobras,2006,$112.95 B,$56.32 B,$78.62 B
Petrobras,2005,$78.16 B,$37.45 B,$63.08 B
Petrobras,2004,$43.20 B,$30.79 B,$53.61 B
Petrobras,2003,$31.75 B,$22.61 B,$32.01 B
Petrobras,2002,$16.22 B,$24.54 B,$36.86 B
Petrobras,2001,$25.30 B,$364.11 B,$251.77 B
Petrobras,ChevronCVX,$305.13 B,$214.08 B,$22.23 B
Petrobras,HessHES,$47.49 B,$10.75 B,$27.03 B
WALMART,2023,$430.98 B,$622.02 B,$243.45 B
WALMART,2022,$382.37 B,$600.11 B,$244.86 B
WALMART,2021,$401.35 B,$571.96 B,$252.49 B
WALMART,2020,$407.84 B,$548.74 B,$236.49 B
WALMART,2019,$337.16 B,$521.08 B,$219.29 B
WALMART,2018,$270.62 B,$511.87 B,$204.52 B
WALMART,2017,$292.53 B,$495.01 B,$198.82 B
WALMART,2016,$212.41 B,$484.60 B,$199.58 B
WALMART,2015,$196.27 B,$484.02 B,$203.70 B
WALMART,2014,$276.80 B,$483.79 B,$204.75 B
WALMART,2013,$254.62 B,$474.73 B,$203.10 B
WALMART,2012,$228.24 B,$464.41 B,$193.40 B
WALMART,2011,$204.65 B,$440.14 B,$180.66 B
WALMART,2010,$192.09 B,$419.17 B,$170.70 B
WALMART,2009,$203.65 B,$403.67 B,$163.42 B
WALMART,2008,$219.89 B,$404.04 B,$163.51 B
WALMART,2007,$190.34 B,$370.44 B,$151.19 B
WALMART,2006,$192.47 B,$340.49 B,$138.18 B
WALMART,2005,$194.85 B,$308.27 B,$120.22 B
WALMART,2004,$223.68 B,$280.36 B,$104.91 B
WALMART,2003,$230.10 B,$255.07 B,$94.68 B
WALMART,2002,$223.43 B,$239.76 B,$83.45 B
WALMART,2001,$256.50 B,$212.12 B,$78.13 B
WALMART,eBayEBAY,$23.58 B,$28.75 B,$19.95 B
WALMART,"Kohl's
KSS",$2.93 B,$9.94 B,$14.71 B
WALMART,"Macy's
M",$3.34 B,$17.95 B,$16.86 B
WALMART,TargetTGT,$58.23 B,$24.93 B,$53.20 B
WALMART,"PriceSmart
PSMT",$2.50 B,$109.27 B,$1.93 B
WALMART,2023,$430.98 B,$622.02 B,$243.45 B
WALMART,2022,$382.37 B,$600.11 B,$244.86 B
WALMART,2021,$401.35 B,$571.96 B,$252.49 B
WALMART,2020,$407.84 B,$548.74 B,$236.49 B
WALMART,2019,$337.16 B,$521.08 B,$219.29 B
WALMART,2018,$270.62 B,$511.87 B,$204.52 B
WALMART,2017,$292.53 B,$495.01 B,$198.82 B
WALMART,2016,$212.41 B,$484.60 B,$199.58 B
WALMART,2015,$196.27 B,$484.02 B,$203.70 B
WALMART,2014,$276.80 B,$483.79 B,$204.75 B
WALMART,2013,$254.62 B,$474.73 B,$203.10 B
WALMART,2012,$228.24 B,$464.41 B,$193.40 B
WALMART,2011,$204.65 B,$440.14 B,$180.66 B
WALMART,2010,$192.09 B,$419.17 B,$170.70 B
WALMART,2009,$203.65 B,$403.67 B,$163.42 B
WALMART,2008,$219.89 B,$404.04 B,$163.51 B
WALMART,2007,$190.34 B,$370.44 B,$151.19 B
WALMART,2006,$192.47 B,$340.49 B,$138.18 B
WALMART,2005,$194.85 B,$308.27 B,$120.22 B
WALMART,2004,$223.68 B,$280.36 B,$104.91 B
WALMART,2003,$230.10 B,$255.07 B,$94.68 B
WALMART,2002,$223.43 B,$239.76 B,$83.45 B
WALMART,2001,$256.50 B,$212.12 B,$78.13 B
WALMART,eBayEBAY,$23.58 B,$28.75 B,$19.95 B
WALMART,"Kohl's
KSS",$2.93 B,$9.94 B,$14.71 B
WALMART,"Macy's
M",$3.34 B,$17.95 B,$16.86 B
WALMART,TargetTGT,$58.23 B,$24.93 B,$53.20 B
WALMART,"PriceSmart
PSMT",$2.50 B,$109.27 B,$1.93 B
WALMART,2023,$430.98 B,$622.02 B,$243.45 B
WALMART,2022,$382.37 B,$600.11 B,$244.86 B
WALMART,2021,$401.35 B,$571.96 B,$252.49 B
WALMART,2020,$407.84 B,$548.74 B,$236.49 B
WALMART,2019,$337.16 B,$521.08 B,$219.29 B
WALMART,2018,$270.62 B,$511.87 B,$204.52 B
WALMART,2017,$292.53 B,$495.01 B,$198.82 B
WALMART,2016,$212.41 B,$484.60 B,$199.58 B
WALMART,2015,$196.27 B,$484.02 B,$203.70 B
WALMART,2014,$276.80 B,$483.79 B,$204.75 B
WALMART,2013,$254.62 B,$474.73 B,$203.10 B
WALMART,2012,$228.24 B,$464.41 B,$193.40 B
WALMART,2011,$204.65 B,$440.14 B,$180.66 B
WALMART,2010,$192.09 B,$419.17 B,$170.70 B
WALMART,2009,$203.65 B,$403.67 B,$163.42 B
WALMART,2008,$219.89 B,$404.04 B,$163.51 B
WALMART,2007,$190.34 B,$370.44 B,$151.19 B
WALMART,2006,$192.47 B,$340.49 B,$138.18 B
WALMART,2005,$194.85 B,$308.27 B,$120.22 B
WALMART,2004,$223.68 B,$280.36 B,$104.91 B
WALMART,2003,$230.10 B,$255.07 B,$94.68 B
WALMART,2002,$223.43 B,$239.76 B,$83.45 B
WALMART,2001,$256.50 B,$212.12 B,$78.13 B
WALMART,eBayEBAY,$23.58 B,$28.75 B,$19.95 B
WALMART,"Kohl's
KSS",$2.93 B,$9.94 B,$14.71 B
WALMART,"Macy's
M",$3.34 B,$17.95 B,$16.86 B
WALMART,TargetTGT,$58.23 B,$24.93 B,$53.20 B
WALMART,"PriceSmart
PSMT",$2.50 B,$109.27 B,$1.93 B
WALMART,2023,$430.98 B,$622.02 B,$243.45 B
WALMART,2022,$382.37 B,$600.11 B,$244.86 B
WALMART,2021,$401.35 B,$571.96 B,$252.49 B
WALMART,2020,$407.84 B,$548.74 B,$236.49 B
WALMART,2019,$337.16 B,$521.08 B,$219.29 B
WALMART,2018,$270.62 B,$511.87 B,$204.52 B
WALMART,2017,$292.53 B,$495.01 B,$198.82 B
WALMART,2016,$212.41 B,$484.60 B,$199.58 B
WALMART,2015,$196.27 B,$484.02 B,$203.70 B
WALMART,2014,$276.80 B,$483.79 B,$204.75 B
WALMART,2013,$254.62 B,$474.73 B,$203.10 B
WALMART,2012,$228.24 B,$464.41 B,$193.40 B
WALMART,2011,$204.65 B,$440.14 B,$180.66 B
WALMART,2010,$192.09 B,$419.17 B,$170.70 B
WALMART,2009,$203.65 B,$403.67 B,$163.42 B
WALMART,2008,$219.89 B,$404.04 B,$163.51 B
WALMART,2007,$190.34 B,$370.44 B,$151.19 B
WALMART,2006,$192.47 B,$340.49 B,$138.18 B
WALMART,2005,$194.85 B,$308.27 B,$120.22 B
WALMART,2004,$223.68 B,$280.36 B,$104.91 B
WALMART,2003,$230.10 B,$255.07 B,$94.68 B
WALMART,2002,$223.43 B,$239.76 B,$83.45 B
WALMART,2001,$256.50 B,$212.12 B,$78.13 B
WALMART,eBayEBAY,$23.58 B,$28.75 B,$19.95 B
WALMART,"Kohl's
KSS",$2.93 B,$9.94 B,$14.71 B
WALMART,"Macy's
M",$3.34 B,$17.95 B,$16.86 B
WALMART,TargetTGT,$58.23 B,$24.93 B,$53.20 B
WALMART,"PriceSmart
PSMT",$2.50 B,$109.27 B,$1.93 B
WALMART,2023,$430.98 B,$622.02 B,$243.45 B
WALMART,2022,$382.37 B,$600.11 B,$244.86 B
WALMART,2021,$401.35 B,$571.96 B,$252.49 B
WALMART,2020,$407.84 B,$548.74 B,$236.49 B
WALMART,2019,$337.16 B,$521.08 B,$219.29 B
WALMART,2018,$270.62 B,$511.87 B,$204.52 B
WALMART,2017,$292.53 B,$495.01 B,$198.82 B
WALMART,2016,$212.41 B,$484.60 B,$199.58 B
WALMART,2015,$196.27 B,$484.02 B,$203.70 B
WALMART,2014,$276.80 B,$483.79 B,$204.75 B
WALMART,2013,$254.62 B,$474.73 B,$203.10 B
WALMART,2012,$228.24 B,$464.41 B,$193.40 B
WALMART,2011,$204.65 B,$440.14 B,$180.66 B
WALMART,2010,$192.09 B,$419.17 B,$170.70 B
WALMART,2009,$203.65 B,$403.67 B,$163.42 B
WALMART,2008,$219.89 B,$404.04 B,$163.51 B
WALMART,2007,$190.34 B,$370.44 B,$151.19 B
WALMART,2006,$192.47 B,$340.49 B,$138.18 B
WALMART,2005,$194.85 B,$308.27 B,$120.22 B
WALMART,2004,$223.68 B,$280.36 B,$104.91 B
WALMART,2003,$230.10 B,$255.07 B,$94.68 B
WALMART,2002,$223.43 B,$239.76 B,$83.45 B
WALMART,2001,$256.50 B,$212.12 B,$78.13 B
WALMART,eBayEBAY,$23.58 B,$28.75 B,$19.95 B
WALMART,"Kohl's
KSS",$2.93 B,$9.94 B,$14.71 B
WALMART,"Macy's
M",$3.34 B,$17.95 B,$16.86 B
WALMART,TargetTGT,$58.23 B,$24.93 B,$53.20 B
WALMART,"PriceSmart
PSMT",$2.50 B,$109.27 B,$1.93 B
WALMART,2023,$430.98 B,$622.02 B,$243.45 B
WALMART,2022,$382.37 B,$600.11 B,$244.86 B
WALMART,2021,$401.35 B,$571.96 B,$252.49 B
WALMART,2020,$407.84 B,$548.74 B,$236.49 B
WALMART,2019,$337.16 B,$521.08 B,$219.29 B
WALMART,2018,$270.62 B,$511.87 B,$204.52 B
WALMART,2017,$292.53 B,$495.01 B,$198.82 B
WALMART,2016,$212.41 B,$484.60 B,$199.58 B
WALMART,2015,$196.27 B,$484.02 B,$203.70 B
WALMART,2014,$276.80 B,$483.79 B,$204.75 B
WALMART,2013,$254.62 B,$474.73 B,$203.10 B
WALMART,2012,$228.24 B,$464.41 B,$193.40 B
WALMART,2011,$204.65 B,$440.14 B,$180.66 B
WALMART,2010,$192.09 B,$419.17 B,$170.70 B
WALMART,2009,$203.65 B,$403.67 B,$163.42 B
WALMART,2008,$219.89 B,$404.04 B,$163.51 B
WALMART,2007,$190.34 B,$370.44 B,$151.19 B
WALMART,2006,$192.47 B,$340.49 B,$138.18 B
WALMART,2005,$194.85 B,$308.27 B,$120.22 B
WALMART,2004,$223.68 B,$280.36 B,$104.91 B
WALMART,2003,$230.10 B,$255.07 B,$94.68 B
WALMART,2002,$223.43 B,$239.76 B,$83.45 B
WALMART,2001,$256.50 B,$212.12 B,$78.13 B
WALMART,eBayEBAY,$23.58 B,$28.75 B,$19.95 B
WALMART,"Kohl's
KSS",$2.93 B,$9.94 B,$14.71 B
WALMART,"Macy's
M",$3.34 B,$17.95 B,$16.86 B
WALMART,TargetTGT,$58.23 B,$24.93 B,$53.20 B
WALMART,"PriceSmart
PSMT",$2.50 B,$109.27 B,$1.93 B
ALLIANZ,2023,$98.31 B,$128.59 B,$1.094 T
ALLIANZ,2022,$86.46 B,$124.90 B,$1.290 T
ALLIANZ,2021,$95.99 B,$203.26 B,$1.303 T
ALLIANZ,2020,$101.71 B,$130.42 B,$1.132 T
ALLIANZ,2019,$101.91 B,$105.90 B,$1.026 T
ALLIANZ,2018,$84.85 B,$104.27 B,$1.082 T
ALLIANZ,2017,$100.36 B,$108.03 B,$930.38 B
ALLIANZ,2016,$75.51 B,$105.03 B,$928.23 B
ALLIANZ,2015,$81.33 B,$118.87 B,$980.00 B
ALLIANZ,2014,$75.88 B,$131.96 B,$982.62 B
ALLIANZ,2013,$81.67 B,$132.34 B,$918.82 B
ALLIANZ,2012,$62.82 B,$137.21 B,$831.35 B
ALLIANZ,2011,$43.23 B,$107.66 B,$831.25 B
ALLIANZ,2010,$53.41 B,$89.80 B,$836.76 B
ALLIANZ,2023,$98.31 B,$128.59 B,$1.094 T
ALLIANZ,2022,$86.46 B,$124.90 B,$1.290 T
ALLIANZ,2021,$95.99 B,$203.26 B,$1.303 T
ALLIANZ,2020,$101.71 B,$130.42 B,$1.132 T
ALLIANZ,2019,$101.91 B,$105.90 B,$1.026 T
ALLIANZ,2018,$84.85 B,$104.27 B,$1.082 T
ALLIANZ,2017,$100.36 B,$108.03 B,$930.38 B
ALLIANZ,2016,$75.51 B,$105.03 B,$928.23 B
ALLIANZ,2015,$81.33 B,$118.87 B,$980.00 B
ALLIANZ,2014,$75.88 B,$131.96 B,$982.62 B
ALLIANZ,2013,$81.67 B,$132.34 B,$918.82 B
ALLIANZ,2012,$62.82 B,$137.21 B,$831.35 B
ALLIANZ,2011,$43.23 B,$107.66 B,$831.25 B
ALLIANZ,2010,$53.41 B,$89.80 B,$836.76 B
ALLIANZ,2023,$98.31 B,$128.59 B,$1.094 T
ALLIANZ,2022,$86.46 B,$124.90 B,$1.290 T
ALLIANZ,2021,$95.99 B,$203.26 B,$1.303 T
ALLIANZ,2020,$101.71 B,$130.42 B,$1.132 T
ALLIANZ,2019,$101.91 B,$105.90 B,$1.026 T
ALLIANZ,2018,$84.85 B,$104.27 B,$1.082 T
ALLIANZ,2017,$100.36 B,$108.03 B,$930.38 B
ALLIANZ,2016,$75.51 B,$105.03 B,$928.23 B
ALLIANZ,2015,$81.33 B,$118.87 B,$980.00 B
ALLIANZ,2014,$75.88 B,$131.96 B,$982.62 B
ALLIANZ,2013,$81.67 B,$132.34 B,$918.82 B
ALLIANZ,2012,$62.82 B,$137.21 B,$831.35 B
ALLIANZ,2011,$43.23 B,$107.66 B,$831.25 B
ALLIANZ,2010,$53.41 B,$89.80 B,$836.76 B
ALLIANZ,2023,$98.31 B,$128.59 B,$1.094 T
ALLIANZ,2022,$86.46 B,$124.90 B,$1.290 T
ALLIANZ,2021,$95.99 B,$203.26 B,$1.303 T
ALLIANZ,2020,$101.71 B,$130.42 B,$1.132 T
ALLIANZ,2019,$101.91 B,$105.90 B,$1.026 T
ALLIANZ,2018,$84.85 B,$104.27 B,$1.082 T
ALLIANZ,2017,$100.36 B,$108.03 B,$930.38 B
ALLIANZ,2016,$75.51 B,$105.03 B,$928.23 B
ALLIANZ,2015,$81.33 B,$118.87 B,$980.00 B
ALLIANZ,2014,$75.88 B,$131.96 B,$982.62 B
ALLIANZ,2013,$81.67 B,$132.34 B,$918.82 B
ALLIANZ,2012,$62.82 B,$137.21 B,$831.35 B
ALLIANZ,2011,$43.23 B,$107.66 B,$831.25 B
ALLIANZ,2010,$53.41 B,$89.80 B,$836.76 B
ALLIANZ,2023,$98.31 B,$128.59 B,$1.094 T
ALLIANZ,2022,$86.46 B,$124.90 B,$1.290 T
ALLIANZ,2021,$95.99 B,$203.26 B,$1.303 T
ALLIANZ,2020,$101.71 B,$130.42 B,$1.132 T
ALLIANZ,2019,$101.91 B,$105.90 B,$1.026 T
ALLIANZ,2018,$84.85 B,$104.27 B,$1.082 T
ALLIANZ,2017,$100.36 B,$108.03 B,$930.38 B
ALLIANZ,2016,$75.51 B,$105.03 B,$928.23 B
ALLIANZ,2015,$81.33 B,$118.87 B,$980.00 B
ALLIANZ,2014,$75.88 B,$131.96 B,$982.62 B
ALLIANZ,2013,$81.67 B,$132.34 B,$918.82 B
ALLIANZ,2012,$62.82 B,$137.21 B,$831.35 B
ALLIANZ,2011,$43.23 B,$107.66 B,$831.25 B
ALLIANZ,2010,$53.41 B,$89.80 B,$836.76 B
ALLIANZ,2023,$98.31 B,$128.59 B,$1.094 T
ALLIANZ,2022,$86.46 B,$124.90 B,$1.290 T
ALLIANZ,2021,$95.99 B,$203.26 B,$1.303 T
ALLIANZ,2020,$101.71 B,$130.42 B,$1.132 T
ALLIANZ,2019,$101.91 B,$105.90 B,$1.026 T
ALLIANZ,2018,$84.85 B,$104.27 B,$1.082 T
ALLIANZ,2017,$100.36 B,$108.03 B,$930.38 B
ALLIANZ,2016,$75.51 B,$105.03 B,$928.23 B
ALLIANZ,2015,$81.33 B,$118.87 B,$980.00 B
ALLIANZ,2014,$75.88 B,$131.96 B,$982.62 B
ALLIANZ,2013,$81.67 B,$132.34 B,$918.82 B
ALLIANZ,2012,$62.82 B,$137.21 B,$831.35 B
ALLIANZ,2011,$43.23 B,$107.66 B,$831.25 B
ALLIANZ,2010,$53.41 B,$89.80 B,$836.76 B
APPLE,2023,$2.878 T,$383.93 B,$352.75 B
APPLE,2022,$2.066 T,$387.53 B,$351.00 B
APPLE,2021,$2.901 T,$378.32 B,$323.88 B
APPLE,2020,$2.255 T,$294.13 B,$338.51 B
APPLE,2019,$1.287 T,$267.68 B,$365.72 B
APPLE,2018,$746.07 B,$261.61 B,$375.31 B
APPLE,2017,$860.88 B,$239.17 B,$321.68 B
APPLE,2016,$608.96 B,$218.11 B,$290.47 B
APPLE,2015,$583.61 B,$234.98 B,$231.83 B
APPLE,2014,$643.12 B,$199.80 B,$207.00 B
APPLE,2013,$500.74 B,$173.99 B,$176.06 B
APPLE,2012,$499.69 B,$164.68 B,$116.37 B
APPLE,2011,$377.51 B,$127.84 B,$75.18 B
APPLE,2010,$297.09 B,$76.28 B,$53.85 B
APPLE,2009,$190.98 B,$42.05 B,$39.57 B
APPLE,2008,$75.99 B,$33.03 B,$25.34 B
APPLE,2007,$174.03 B,$26.49 B,$17.20 B
APPLE,2006,$72.98 B,$20.68 B,$11.55 B
APPLE,2005,$60.79 B,$16.19 B,$8.05 B
APPLE,2004,$26.05 B,$9.76 B,$6.81 B
APPLE,2003,$7.88 B,$6.74 B,$6.29 B
APPLE,2002,$5.16 B,$5.83 B,$6.02 B
APPLE,2001,$7.71 B,$5.73 B,$36.36 B
APPLE,2023,$2.878 T,$383.93 B,$352.75 B
APPLE,2022,$2.066 T,$387.53 B,$351.00 B
APPLE,2021,$2.901 T,$378.32 B,$323.88 B
APPLE,2020,$2.255 T,$294.13 B,$338.51 B
APPLE,2019,$1.287 T,$267.68 B,$365.72 B
APPLE,2018,$746.07 B,$261.61 B,$375.31 B
APPLE,2017,$860.88 B,$239.17 B,$321.68 B
APPLE,2016,$608.96 B,$218.11 B,$290.47 B
APPLE,2015,$583.61 B,$234.98 B,$231.83 B
APPLE,2014,$643.12 B,$199.80 B,$207.00 B
APPLE,2013,$500.74 B,$173.99 B,$176.06 B
APPLE,2012,$499.69 B,$164.68 B,$116.37 B
APPLE,2011,$377.51 B,$127.84 B,$75.18 B
APPLE,2010,$297.09 B,$76.28 B,$53.85 B
APPLE,2009,$190.98 B,$42.05 B,$39.57 B
APPLE,2008,$75.99 B,$33.03 B,$25.34 B
APPLE,2007,$174.03 B,$26.49 B,$17.20 B
APPLE,2006,$72.98 B,$20.68 B,$11.55 B
APPLE,2005,$60.79 B,$16.19 B,$8.05 B
